iter	Passed	Remaining
479	660	715
480	662	714
481	665	715
482	667	714
483	669	713
484	671	712
485	672	711
486	674	710
487	675	708
488	676	707
489	677	705
490	679	704
491	680	702
492	681	700
493	682	699
494	683	697
495	684	695
496	685	693
497	686	691
498	686	689
499	687	687
500	688	685
501	689	683
502	690	681
503	690	679
504	691	678
505	692	676
506	693	674
507	695	673
508	695	671
509	696	669
510	697	667
511	698	665
512	699	663
513	699	661
514	700	659
515	701	657
516	702	655
517	702	654
518	703	652
519	704	650
520	705	648
521	705	646
522	706	644
523	707	643
524	709	641
525	709	639
526	710	637
527	711	635
528	712	634
529	712	632
530	713	630
531	714	628
532	715	626
533	715	624
534	716	622
535	717	621
536	718	619
537	718	617
538	719	615
539	720	613
540	721	612
541	722	610
542	723	608
543	724	607
544	725	605
545	725	603
546	726	601
547	727	599
548	728	598
549	728	596
550	729	594
551	730	592
552	731	591
553	731	589
554	732	587
555	733	585
556	734	583
557	734	582
558	736	580
559	737	579
560	737	577
561	738	575
562	739	573
563	739	572
564	740	570
565	741	568
566	742	566
567	742	565
568	743	563
569	744	561
570	745	559
571	745	558
572	746	556
573	747	554
574	748	552
575	748	551
576	749	549
577	750	548
578	751	546
579	752	545
580	753	543
581	754	542
582	755	540
583	756	538
584	757	537
585	757	535
586	758	533
587	759	532
588	760	530
589	760	528
590	761	527
591	762	525
592	763	524
593	764	522
594	765	521
595	766	519
596	767	517
597	768	516
598	768	514
599	769	513
600	770	511
601	771	509
602	771	508
603	772	506
604	773	504
605	774	503
606	774	501
607	775	500
608	776	498
609	776	496
610	777	495
611	778	493
612	779	492
613	780	490
614	781	489
615	782	487
616	783	486
617	783	484
618	784	482
619	785	481
620	786	479
621	786	478
622	787	476
623	788	475
624	789	473
625	789	471
626	790	470
627	791	468
628	792	467
629	793	465
630	794	464
631	795	462
632	795	461
633	796	459
634	797	458
635	798	456
636	798	455
637	799	453
638	800	452
639	801	450
640	801	449
641	802	447
642	803	446
643	804	444
644	805	443
645	805	441
646	807	440
647	808	438
648	808	437
649	809	435
650	810	434
651	811	432
652	811	431
653	812	429
654	813	428
655	814	426
656	815	425
657	815	424
658	816	422
659	817	421
660	818	419
661	818	418
662	819	416
663	820	415
664	822	414
665	823	412
666	824	411
667	825	410
668	825	408
669	826	407
670	827	405
671	828	404
672	829	403
673	830	401
674	831	400
675	832	398
676	832	397
677	833	395
678	834	394
679	836	393
680	837	392
681	838	390
682	839	389
683	839	388
684	840	386
685	841	385
686	842	383
687	843	382
688	843	380
689	844	379
690	845	378
691	846	376
692	846	375
693	847	373
694	848	372
695	849	371
696	850	369
697	851	368
698	852	367
699	853	365
700	854	364
701	855	363
702	855	361
703	856	360
704	857	358
705	858	357
706	859	356
707	860	354
708	860	353
709	861	351
710	862	350
711	863	349
712	864	347
713	865	346
714	866	345
715	866	343
716	867	342
717	868	341
718	869	339
719	870	338
720	871	337
721	871	335
722	872	334
723	873	332
724	874	331
725	875	330
726	875	328
727	876	327
728	877	326
729	878	324
730	879	323
731	880	322
732	881	321
733	882	319
734	883	318
735	884	317
736	885	315
737	886	314
738	886	313
739	887	311
740	888	310
741	889	309
742	890	307
743	890	306
744	892	305
745	893	304
746	894	302
747	894	301
748	895	300
749	896	298
750	897	297
751	898	296
752	898	294
753	899	293
754	900	292
755	901	290
756	901	289
757	902	288
758	903	286
759	904	285
760	905	284
761	906	283
762	907	281
763	908	280
764	909	279
765	909	277
766	910	276
767	911	275
768	911	273
769	912	272
770	913	271
771	914	270
772	915	268
773	915	267
774	916	266
775	917	264
776	918	263
777	918	262
778	919	260
779	920	259
780	922	258
781	923	257
782	923	256
783	924	254
784	925	253
785	926	252
786	926	250
787	927	249
788	928	248
789	929	247
790	930	245
791	930	244
792	931	243
793	932	241
794	933	240
795	934	239
796	935	238
797	936	237
798	937	235
799	938	234
800	938	233
801	939	231
802	940	230
803	941	229
804	941	228
805	942	226
806	943	225
807	944	224
808	945	223
809	945	221
810	946	220
811	947	219
812	948	218
813	949	216
814	950	215
815	951	214
816	952	213
817	953	212
818	953	210
819	954	209
820	955	208
821	956	207
822	956	205
823	957	204
824	958	203
825	959	202
826	960	200
827	960	199
828	961	198
829	962	197
830	964	196
831	965	194
832	966	193
833	967	192
834	968	191
835	968	190
836	969	188
837	970	187
838	971	186
839	972	185
840	972	183
841	973	182
842	974	181
843	975	180
844	975	179
845	977	177
846	978	176
847	979	175
848	980	174
849	981	173
850	982	171
851	983	170
852	983	169
853	984	168
854	985	167
855	986	165
856	986	164
857	987	163
858	988	162
859	989	161
860	989	159
861	990	158
862	991	157
863	992	156
864	993	155
865	994	153
866	995	152
867	996	151
868	997	150
869	998	149
870	999	147
871	999	146
872	1000	145
873	1001	144
874	1002	143
875	1003	141
876	1003	140
877	1004	139
878	1005	138
879	1006	137
880	1008	136
881	1009	135
882	1010	133
883	1011	132
884	1012	131
885	1013	130
886	1014	129
887	1015	128
888	1016	126
889	1017	125
890	1018	124
891	1018	123
892	1019	122
893	1021	121
894	1022	119
895	1023	118
896	1023	117
897	1024	116
898	1025	115
899	1026	114
900	1026	112
901	1027	111
902	1028	110
903	1029	109
904	1029	108
905	1030	106
906	1031	105
907	1032	104
908	1033	103
909	1034	102
910	1035	101
911	1036	99
912	1037	98
913	1037	97
914	1038	96
915	1039	95
916	1040	94
917	1041	92
918	1041	91
919	1042	90
920	1043	89
921	1044	88
922	1044	87
923	1045	85
924	1046	84
925	1047	83
926	1047	82
927	1048	81
928	1049	80
929	1050	79
930	1051	77
931	1052	76
932	1053	75
933	1054	74
934	1054	73
935	1055	72
936	1056	71
937	1057	69
938	1058	68
939	1058	67
940	1059	66
941	1060	65
942	1061	64
943	1061	62
944	1062	61
945	1063	60
946	1064	59
947	1065	58
948	1066	57
949	1067	56
950	1068	55
951	1068	53
952	1069	52
953	1070	51
954	1071	50
955	1071	49
956	1072	48
957	1073	47
958	1073	45
959	1074	44
960	1075	43
961	1076	42
962	1077	41
963	1078	40
964	1079	39
965	1079	38
966	1080	36
967	1081	35
968	1082	34
969	1083	33
970	1083	32
971	1084	31
972	1085	30
973	1086	28
974	1087	27
975	1087	26
976	1088	25
977	1089	24
978	1090	23
979	1091	22
980	1092	21
981	1093	20
982	1093	18
983	1094	17
984	1095	16
985	1096	15
986	1097	14
987	1098	13
988	1098	12
989	1099	11
990	1100	9
991	1101	8
992	1102	7
993	1103	6
994	1103	5
995	1104	4
996	1105	3
997	1106	2
998	1107	1
999	1108	0
